name	kind	source_kind	layer	defined_in
git_revwalk_add_hide_cb	symbol	function_exported	2	src/libgit2/revwalk.c
git_signature_default	symbol	function_exported	2	src/libgit2/signature.c
git_signature_default_from_env	symbol	function_exported	2	src/libgit2/signature.c
git_signature_new	symbol	function_exported	2	src/libgit2/signature.c
git_signature_now	symbol	function_exported	2	src/libgit2/signature.c
git_stash_foreach	symbol	function_exported	2	src/libgit2/stash.c
git_stash_save	symbol	function_exported	2	src/libgit2/stash.c
git_submodule_foreach	symbol	function_exported	2	src/libgit2/submodule.c
git_tag_annotation_create	symbol	function_exported	2	src/libgit2/tag.c
git_tag_create	symbol	function_exported	2	src/libgit2/tag.c
git_tag_foreach	symbol	function_exported	2	src/libgit2/tag.c
git_tag_id	symbol	function_exported	2	src/libgit2/object_api.c
git_tag_lookup	symbol	function_exported	2	src/libgit2/object_api.c
git_tag_lookup_prefix	symbol	function_exported	2	src/libgit2/object_api.c
git_tag_message	symbol	function_exported	2	src/libgit2/tag.c
git_tag_name	symbol	function_exported	2	src/libgit2/tag.c
git_tag_peel	symbol	function_exported	2	src/libgit2/tag.c
git_tag_tagger	symbol	function_exported	2	src/libgit2/tag.c
git_tag_target	symbol	function_exported	2	src/libgit2/tag.c
git_tag_target_id	symbol	function_exported	2	src/libgit2/tag.c
git_tag_target_type	symbol	function_exported	2	src/libgit2/tag.c
git_trace_set	symbol	function_exported	2	src/libgit2/trace.c
git_transaction_set_symbolic_target	symbol	function_exported	2	src/libgit2/transaction.c
git_transaction_set_target	symbol	function_exported	2	src/libgit2/transaction.c
git_tree_create_updated	symbol	function_exported	2	src/libgit2/tree.c
git_tree_entry_byid	symbol	function_exported	2	src/libgit2/tree.c
git_tree_entry_byindex	symbol	function_exported	2	src/libgit2/tree.c
git_tree_entry_byname	symbol	function_exported	2	src/libgit2/tree.c
git_tree_entry_bypath	symbol	function_exported	2	src/libgit2/tree.c
git_tree_entrycount	symbol	function_exported	2	src/libgit2/tree.c
git_tree_id	symbol	function_exported	2	src/libgit2/object_api.c
git_tree_lookup	symbol	function_exported	2	src/libgit2/object_api.c
git_tree_walk	symbol	function_exported	2	src/libgit2/tree.c
git_treebuilder_filter	symbol	function_exported	2	src/libgit2/tree.c
git_treebuilder_new	symbol	function_exported	2	src/libgit2/tree.c
git_blame_hunk	type	struct	2	include/git2/blame.h
git_cert_hostkey	type	struct	2	include/git2/cert.h
git_cert_x509	type	struct	2	include/git2/cert.h
git_config_backend_entry	type	struct	2	include/git2/sys/config.h
git_diff_binary	type	struct	2	include/git2/diff.h
git_diff_delta	type	struct	2	include/git2/diff.h
git_diff_format_email_options	type	struct	2	include/git2/deprecated.h
git_diff_similarity_metric	type	struct	2	include/git2/diff.h
git_fetch_negotiation	type	struct	2	include/git2/sys/transport.h
